,PedidoID,Peso_Total_Kg,Fecha_Limite_Entrega,nombre_completo,distancia_km,coordenadas_gps,Latitud,Longitud
0,1,860,2025-12-16T00:00:00.000,Destino Guadalajara,455.56,,40.6339,-3.1672
1,2,1070,2025-12-17T00:00:00.000,Destino Sevilla,830.4,,37.3886303,-5.9953403
2,4,1040,2025-12-19T00:00:00.000,Destino Castellón,242.85,,40.2518568,-0.0615052
3,5,990,2025-12-19T00:00:00.000,Destino Navarra,825.56,,42.6125488,-1.8307877
4,6,1000,2025-12-18T00:00:00.000,Destino Lugo,821.5,,43.0396042,-7.4566072
5,8,1100,2025-12-17T00:00:00.000,Destino Palencia,561.34,,42.0108856,-4.5328735
6,9,1270,2025-12-17T00:00:00.000,Destino La Rioja,159.69,,42.2814642,-2.482805
7,10,950,2025-12-19T00:00:00.000,Destino Vizcaya,888.86,,43.238482,-2.8516316
8,11,1060,2025-12-16T00:00:00.000,Destino Burgos,498.36,,42.343926,-3.696977
9,12,1320,2025-12-17T00:00:00.000,Destino Guipúzcoa,403.61,,43.1445278,-2.2037955
10,13,1100,2025-12-18T00:00:00.000,Destino Albacete,433.31,,38.9950921,-1.8559154
11,14,850,2025-12-23T00:00:00.000,Destino Córdoba,711.53,,37.8845813,-4.7760138
12,15,1190,2025-12-15T00:00:00.000,Destino Palencia,561.34,,42.0108856,-4.5328735
13,17,1120,2025-12-16T00:00:00.000,Destino Segovia,529.57,,40.9481192,-4.1172101
14,18,1030,2025-12-17T00:00:00.000,Destino Huesca,230.28,,42.1360615,-0.0298027
15,19,1260,2025-12-22T00:00:00.000,Destino Albacete,433.31,,38.9950921,-1.8559154
16,20,1050,2025-12-19T00:00:00.000,Destino Burgos,498.36,,42.343926,-3.696977
17,21,1010,2025-12-19T00:00:00.000,Destino Salamanca,657.73,,40.9651572,-5.6640182
18,22,1220,2025-12-18T00:00:00.000,Destino Córdoba,711.53,,37.8845813,-4.7760138
19,23,1130,2025-12-18T00:00:00.000,Destino Guipúzcoa,403.61,,43.1445278,-2.2037955
20,24,890,2025-12-18T00:00:00.000,Destino Girona,85.5,,41.9793006,2.8199439
21,25,990,2025-12-17T00:00:00.000,Destino Palencia,561.34,,42.0108856,-4.5328735
22,26,1200,2025-12-19T00:00:00.000,Destino Teruel,299.5,,40.6005259,-0.9229282
23,27,1070,2025-12-16T00:00:00.000,Destino Guipúzcoa,403.61,,43.1445278,-2.2037955
24,28,1180,2025-12-23T00:00:00.000,Destino Zamora,661.01,,41.6857693,-5.942315
25,29,990,2025-12-19T00:00:00.000,Destino Soria,388.44,,41.6012505,-2.721938
26,30,1180,2025-12-18T00:00:00.000,Destino Ávila,582.19,,40.656478,-4.7002172
27,31,1260,2025-12-15T00:00:00.000,Destino Murcia,472.04,,37.9923795,-1.1305431
28,32,1130,2025-12-16T00:00:00.000,Destino Valencia,302.81,,39.4697065,-0.3763353
29,33,820,2025-12-17T00:00:00.000,Destino Córdoba,711.53,,37.8845813,-4.7760138
30,35,1120,2025-12-19T00:00:00.000,Destino Cuenca,390.98,,40.0661031,-2.1313528
31,36,1130,2025-12-19T00:00:00.000,Destino Girona,85.5,,41.9793006,2.8199439
32,37,1000,2025-12-18T00:00:00.000,Destino Vizcaya,888.86,,43.238482,-2.8516316
33,38,930,2025-12-18T00:00:00.000,Destino Badajoz,372.78,,38.878187,-6.9701115
34,39,1020,2025-12-17T00:00:00.000,Destino Sevilla,830.4,,37.3886303,-5.9953403
35,40,960,2025-12-17T00:00:00.000,Destino Zaragoza,256.17,,41.6521342,-0.8809428
36,41,1310,2025-12-15T00:00:00.000,Destino Ourense,837.68,,42.1939629,-7.537124
37,42,970,2025-12-16T00:00:00.000,Destino Guadalajara,455.56,,40.6339,-3.1672
38,43,1020,2025-12-17T00:00:00.000,Destino Zaragoza,256.17,,41.6521342,-0.8809428
39,44,990,2025-12-22T00:00:00.000,Destino Córdoba,711.53,,37.8845813,-4.7760138
40,45,1210,2025-12-17T00:00:00.000,Destino Córdoba,711.53,,37.8845813,-4.7760138
